category,item_id,content
1.產品&服務,1-1,客戶現場零賣整支產品作業時間為20分鐘；需開立切單產品SOP為先匯款，等通知取貨
2.新客戶管理,2-1,新客戶需確認 : 1.公司基本資料建檔 2.商工登記公示資料 3.公司網站 注意:新客戶盡量拒絕參訪公司 另外 新客戶參訪需經過Andy同意
2.新客戶管理,2-2,新客戶請先至裁判書系統查詢過往案件 https://judgment.judicial.gov.tw/FJUD/default.aspx，本身是否為被告。
2.新客戶管理,2-3,新客人報價，請先詢問是否為【急單】
2.新客戶管理,2-4,新客戶詢價，先請對方提供名片後，再詢問其他建檔資料。
2.新客戶管理,2-5,新客戶ERP建檔原則，A土城、B樹林、C板橋、D中和、E新莊蘆洲方向、F三峽、G其他區域。
3.客戶報價,3-1,"A218 國峰 3 / 4 / 5 / 6 槽鐵, 6/9/10m 整隻搭配切之後剩下部分切清, 單價較一般+1/KG"
3.客戶報價,3-2,B345 泳發 黑角鐵/ 黑槽鐵切工 1.3/KG
3.客戶報價,3-3,B389金亞平鐵19*3對切0.5/KG 平鐵38/平鐵50 對切0.4/KG
3.客戶報價,3-4,B251 銳昌 黑角鐵 切工 1.3/KG
3.客戶報價,3-5,E267 昌鉅 SUS 角鐵切工 2.5/KG
3.客戶報價,3-6,E197 世運 3槽/4槽 切工 0.7/KG
3.客戶報價,3-7,B392/B392-2統聖 槽鐵切工$1/KG
3.客戶報價,3-8,"客戶下單趕當天,單價要提高(經Andy確認)"
3.客戶報價,3-9,客戶下單，請客戶回傳確認訂購單
3.客戶報價,3-12,客戶報價時，不管是否找老闆，請一律回應老闆不在，稍等會請業務報價。目的：(所有人報價都是一致)
3.客戶報價,3-13,如遇客戶報價鐵板，請先確認是否為急單，以利確認回覆價格(急單，一樣經Andy確認是否加價與加價金額)。
3.客戶報價,3-14,龍一如需詢價，先電話與廠商確認價格，後續再補單。
3.客戶報價,3-15,若客戶詢問管材【鍍鋅】，請第一時間跟客戶確認【錏管】還是【熱浸鍍鋅】以便資訊正確。
3.客戶報價,3-16,若【久未合作】的客戶，請在與客戶報價階段，詢問以下：1.突然合作的原因2.提醒現金交易；若我們自己主動聯絡客戶，先確認交易條件.
3.客戶報價,3-17,A048財順 角鐵30*3t若切35L，切工不能低於6/刀
3.客戶報價,3-19,客戶詢價：若提到拿料測試，若測試無法使用再退給我們或者請我們折價買回→【請直接回絕！！】無需跟主管確認！
3.客戶報價,3-32,所有訂單都需詢問【客戶最晚交期】
3.客戶報價,3-33,【泰演】修頭不算工錢
3.客戶報價,3-34,若客戶訂料，務必留文字記錄
4.庫存管理,4-1,廠內【不鏽鋼槽鐵】皆為客戶庫存品
4.庫存管理,4-2,客戶已寄庫存不得轉移給其他客戶使用，需保留在廠內
5.特殊客戶,5-1,C041宜暢達6”以上的槽鐵 用日本槽鐵 以下用台灣槽鐵
5.特殊客戶,5-2,E202德鑫-3.2以下的板子都採用C
5.特殊客戶,5-3,興立行宋志平總經理已於2023/7/19辦理離職，客戶已來函表示該人員往後對外之言行及一切業務、採購活動等行為均與該公司無關。
5.特殊客戶,5-4,B239在明沒有天車，送貨前電話聯絡，須請對方安排人力協助搬貨才可去，若下雨詢問一下可否搬貨。
6.進貨,6-1,採購退貨需KEY IN進貨退回給供應廠商蓋章確認回傳
6.進貨,6-2,"外調直送品項, 【出車前】要先確認【單價/重量】, 並完成【進貨入庫】, 讓司機帶正確銷貨單出門; 若是在司機【出車後】才訂料之外調直送品項急料, 也要先完成確認單價/重量, 並完成進貨入庫, 銷貨單依客戶需求, 先傳真回簽或是另趟再交客戶採購人員簽收"
6.進貨,6-3,廠內採購鐵板到貨產品，收貨時若逢下雨淋濕，請先拍照存證，若有受潮須向供貨廠商要求酌收產品受潮費用或要求司機擦乾產品。(通常是鐵板，南部廠商送上來，扣0.5/kg)
6.進貨,6-4,詢問廠商供貨產品以公斤之進貨價，提供給業務進行視狀況提供客戶單片/單支價格(以公斤單價*產品重量)
6.進貨,6-5,每天進貨單打進系統印出給老闆娘，勿直接給廠商進貨單
6.進貨,6-6,廠商三華鋼鐵常會提供不平的鐵板，請留意若有兩日內急件，非特殊狀況，請勿向三華叫貨。
6.進貨,6-7,新客戶第一次交易，務必掌握好交期，尤其現場有機器人力待命。採購單務必註記交期以及罰緩(10%)。目的是讓對方知道底線，若真無法遵守，後續會針對該公司發出律師函。
6.進貨,6-8,天車吊掛注意事項：天車吊掛貨物時，如果物品過於龐大，請至辦公室詢問小姐該物品之重量，再決定是否用前天車進行吊掛或將物品分批吊掛，以免造成天車受損以及人員受傷。（by 小林）
6.進貨,6-9,要自載取廠商料件，請一律先經過ANDY
6.進貨,6-10,預定大批量品項，依客戶指定交貨日期再要求廠端出貨，
6.進貨,6-11,我們公司可以裁切的尺寸或是原材料，請勿告訴供應商實際的尺寸，請算好料再去詢價，以防客戶只是比價，可能找多個廠商同時詢價，卻讓供應商得知是同一單多方詢價。
6.進貨,6-12,"燁昌老闆娘表示是我們要分開開立國凱/維精發票,一月帳不要扣匯費⇒2025/1/1後，燁昌皆不扣匯費"
6.進貨,6-13,新客戶下訂一律先付款，若有切法問題，一律都等付款後再詢問客戶。
6.進貨,6-14,鑫旺商品入庫要請涂小姐拍照，目的為確認商品是否都有來源廠商聯鐵鋼印
7.出貨,7-1,notion資訊需真實KEY IN 交期(國凱未交貨看板)
7.出貨,7-2,B153紘源訂購白鐵都要材證
7.出貨,7-3,"鐵板庫存若非客戶常用的種類, 請確認客戶是否急料?是否可以改規格使用？(在進這些非常用的種類的時候就要清楚)"
7.出貨,7-4,"外調直送品項, 【出車前】要先確認【單價/重量】, 並完成【進貨入庫】, 讓司機帶正確銷貨單出門; 若是在司機【出車後】才訂料之外調直送品項急料, 也要先完成確認單價/重量, 並完成進貨入庫, 銷貨單依客戶需求, 先傳真回簽或是另趟再交客戶採購人員簽收"
